time,h1_bot
0,21.17
0.01,29.5
0.02,37.45
0.03,45.01
0.04,52.32
0.05,56.83
0.06,62.43
0.07,69.18
0.08,75.2
0.09,81.56
0.1,83.94
0.11,90.76
0.12,99.14
0.13,100.58
0.14,108.47
0.15,114.54
0.16,119.63
0.17,123.75
0.18,129.85
0.19,135.91
0.2,142.56
0.21,146.93
0.22,152.33
0.23,158.56
0.24,168.18
0.25,170.08
0.26,176.52
0.27,182.43
0.28,188.94
0.29,197.43
0.3,202.24
0.31,210.25
0.32,215.56
0.33,222.14
0.34,230.71
0.35,235.95
0.36,242.41
0.37,250.2
0.38,256.77
0.39,265.72
0.4,270.68
0.41,277.46
0.42,285.99
0.43,292.74
0.44,304.39
0.45,306.87
0.46,317.61
0.47,324.78
0.48,331.33
0.49,340.88
0.5,347.05
0.51,356.81
0.52,365.51
0.53,373.99
0.54,380.6
0.55,390.66
0.56,399.94
0.57,408.24
0.58,417.71
0.59,425.4
0.6,433.42
0.61,444.21
0.62,454.58
0.63,462.81
0.64,471.69
0.65,482.35
0.66,492.45
0.67,501.7
0.68,511.77
0.69,522.82
0.7,533.06
0.71,542.95
0.72,553.76
0.73,563.68
0.74,574.36
0.75,584.58
0.76,595.65
0.77,609.14
0.78,619.23
0.79,628.83
0.8,640.45
0.81,653.37
0.82,665.08
0.83,677.03
0.84,690.46
0.85,700.5
0.86,712.55
0.87,725.55
0.88,737.1
0.89,750.94
0.9,763.62
0.91,776.03
0.92,789.52
0.93,800.81
0.94,816.08
0.95,830.47
0.96,842.34
0.97,856.14
0.98,869.29
0.99,884.67
1,899.31
1.01,913.11
1.02,927.76
1.03,942.89
1.04,955.76
1.05,971.63
1.06,987.64
1.07,1001.87
1.08,1018.62
1.09,1032.09
1.1,1047.42
1.11,1063.9
1.12,1079.62
1.13,1098.24
1.14,1111.54
1.15,1129.3
1.16,1144.75
1.17,1163.28
1.18,1177.49
1.19,1197.04
1.2,1215.24
1.21,1232.24
1.22,1248.29
1.23,1268.12
1.24,1285.87
1.25,1304.79
1.26,1320.74
1.27,1339.16
1.28,1358.75
1.29,1377.22
1.3,1394.54
1.31,1414.87
1.32,1434.61
1.33,1454.03
1.34,1474.15
1.35,1491.83
1.36,1512.5
1.37,1530.03
1.38,1550.74
1.39,1573.11
1.4,1591.62
