time,h2_top,h1_bot
0,26.53,21.17
0.01,36.29,29.5
0.02,45.89,37.45
0.03,50.56,45.01
0.04,60.25,52.32
0.05,67.33,56.83
0.06,72.4,62.43
0.07,80.63,69.18
0.08,86.24,75.2
0.09,92.87,81.56
0.1,98.88,83.94
0.11,104.16,90.76
0.12,110.38,99.14
0.13,117.37,100.58
0.14,123.91,108.47
0.15,129.06,114.54
0.16,137.57,119.63
0.17,144.43,123.75
0.18,149.52,129.85
0.19,155.95,135.91
0.2,161.22,142.56
0.21,170.3,146.93
0.22,177.33,152.33
0.23,185.63,158.56
0.24,190.44,168.18
0.25,200.14,170.08
0.26,206.97,176.52
0.27,213.41,182.43
0.28,223.82,188.94
0.29,231.7,197.43
0.3,237.68,202.24
0.31,246.7,210.25
0.32,257.84,215.56
0.33,264.03,222.14
0.34,274.19,230.71
0.35,282.62,235.95
0.36,291.29,242.41
0.37,300.36,250.2
0.38,310.33,256.77
0.39,319.25,265.72
0.4,331.01,270.68
0.41,340.34,277.46
0.42,349.59,285.99
0.43,359.35,292.74
0.44,370.85,304.39
0.45,381.48,306.87
0.46,394.47,317.61
0.47,406.63,324.78
0.48,417.93,331.33
0.49,427.26,340.88
0.5,440.75,347.05
0.51,453.48,356.81
0.52,468.13,365.51
0.53,481.32,373.99
0.54,494.04,380.6
0.55,507.05,390.66
0.56,520.01,399.94
0.57,534.43,408.24
0.58,550.43,417.71
0.59,566.02,425.4
0.6,581.67,433.42
0.61,597.3,444.21
0.62,614,454.58
0.63,631.65,462.81
0.64,647.06,471.69
0.65,664.94,482.35
0.66,681.7,492.45
0.67,702.07,501.7
0.68,719.81,511.77
0.69,740.79,522.82
0.7,757.7,533.06
0.71,781.65,542.95
0.72,802.03,553.76
0.73,823.52,563.68
0.74,843.76,574.36
0.75,868.49,584.58
0.76,892.37,595.65
0.77,915.47,609.14
0.78,942.11,619.23
0.79,966.27,628.83
0.8,992.88,640.45
0.81,1020.4,653.37
0.82,1046.15,665.08
0.83,1076.62,677.03
0.84,1105.15,690.46
0.85,1136.42,700.5
0.86,1169.36,712.55
0.87,1198.27,725.55
0.88,1232.72,737.1
0.89,1265.96,750.94
0.9,1303.42,763.62
0.91,1340.32,776.03
0.92,1376.09,789.52
0.93,1415.38,800.81
0.94,1456.65,816.08
0.95,1498.52,830.47
0.96,1542.05,842.34
0.97,1584.99,856.14
0.98,1630.53,869.29
0.99,1678.63,884.67
1,1728.42,899.31
1.01,1779.38,913.11
1.02,1831.92,927.76
1.03,1884.72,942.89
1.04,1938.63,955.76
1.05,1994.84,971.63
1.06,2049.64,987.64
1.07,2109.68,1001.87
1.08,2170.33,1018.62
1.09,2228.99,1032.09
1.1,2290.11,1047.42
1.11,2352.24,1063.9
1.12,2418.06,1079.62
1.13,2481.64,1098.24
1.14,2546.11,1111.54
1.15,2614.23,1129.3
1.16,2679.61,1144.75
1.17,2748.91,1163.28
1.18,2816.84,1177.49
1.19,2889.71,1197.04
1.2,2960.32,1215.24
1.21,3032.21,1232.24
1.22,3104.24,1248.29
1.23,3179.91,1268.12
1.24,3256.57,1285.87
1.25,3331.3,1304.79
1.26,3407.48,1320.74
1.27,3484.14,1339.16
1.28,3562.57,1358.75
1.29,3648.56,1377.22
1.3,3727.87,1394.54
1.31,3809.34,1414.87
1.32,3891.46,1434.61
1.33,3977.57,1454.03
1.34,4063.1,1474.15
1.35,4152.4,1491.83
1.36,4241.82,1512.5
1.37,4329.12,1530.03
1.38,4419.89,1550.74
1.39,4508.28,1573.11
1.4,4607.36,1591.62
1.41,4703.26,1613.66
1.42,4797.35,1633.7
1.43,4891.06,1655.38
1.44,4986.42,1675.34
1.45,5088.83,1695.71
1.46,5192.54,1718.22
1.47,5297.03,1738.52
1.48,5400.59,1758.94
1.49,5499.98,1783.24
1.5,5604.21,1804.91
1.51,5713.41,1826.32
1.52,5823.88,1848.13
1.53,5936.73,1872.44
1.54,6046.16,1894.21
1.55,6155.16,1917.7
1.56,6266.79,1938.46
1.57,6385.92,1962.28
1.58,6501.63,1986.99
1.59,6618.99,2010.35
1.6,6738,2032.56
1.61,6859.16,2059.1
1.62,6977.28,2080.2
1.63,7100.44,2104.95
1.64,7228.08,2128.69
1.65,7354.3,2154.78
1.66,7479.78,2177.77
1.67,7605.5,2203.78
1.68,7736.9,2228.8
1.69,7868.49,2254.3
1.7,8002.67,2280.59
1.71,8135.09,2304.7
1.72,8269.12,2330.64
1.73,8405.61,2356.2
1.74,8542.32,2383.92
1.75,8682.76,2410.2
1.76,8823.82,2437.19
1.77,8966.54,2463.55
1.78,9111.26,2490.96
1.79,9252.53,2519.77
1.8,9396.76,2547.02
1.81,9540.66,2574.16
1.82,9690.22,2603.32
1.83,9843.85,2631.36
1.84,9995.8,2660.69
1.85,10151,2687.23
1.86,10303.74,2716.2
1.87,10457.03,2746.02
1.88,10609.37,2773.8
1.89,10767.48,2805.77
1.9,10927.95,2834.71
1.91,11092.97,2868.88
1.92,11254.53,2898.59
1.93,11422.74,2927.57
1.94,11584.1,2960.82
1.95,11745.07,2989.42
1.96,11911.76,3022.02
1.97,12076.97,3052.49
1.98,12249.17,3084.84
