tempo,q
0.01,0.283844
0.02,0.259484
0.03,0.244138
0.04,0.232592
0.05,0.223702
0.06,0.216828
0.07,0.211504
0.08,0.207374
0.09,0.204168
0.1,0.201678
0.11,0.1997426
0.12,0.1982378
0.13,0.1970672
0.14,0.1961564
0.15,0.1954472
0.16,0.1948948
0.17,0.194464
0.18,0.194128
0.19,0.1938654
0.2,0.19366
0.21,0.1934988
0.22,0.1933722
0.23,0.193272
0.24,0.1931926
0.25,0.1931294
0.26,0.1930782
0.27,0.193037
0.28,0.1930032
0.29,0.1929748
0.3,0.1929512
0.31,0.1929308
0.32,0.192913
0.33,0.1928972
0.34,0.1928828
0.35,0.1928696
0.36,0.1928574
0.37,0.1928456
0.38,0.1928342
0.39,0.1928232
0.4,0.1928124
0.41,0.1928016
0.42,0.192791
0.43,0.1927804
0.44,0.1927694
0.45,0.1927586
0.46,0.1927476
0.47,0.1927362
0.48,0.192725
0.49,0.1927134
0.5,0.1927014
0.51,0.1926894
0.52,0.192677
0.53,0.1926642
0.54,0.1926512
0.55,0.1926378
0.56,0.1926238
0.57,0.1926096
0.58,0.1925948
0.59,0.1925796
0.6,0.1925638
0.61,0.1925474
0.62,0.19253
0.63,0.1925126
0.64,0.192494
0.65,0.1924744
0.66,0.1924542
0.67,0.192432
0.68,0.1924098
0.69,0.1923856
0.7,0.19236
0.71,0.1923328
0.72,0.192303
0.73,0.1922718
0.74,0.1922366
0.75,0.1922002
0.76,0.192158
0.77,0.1921132
0.78,0.1920632
0.79,0.1920072
0.8,0.1919432
0.81,0.1918722
0.82,0.1917912
0.83,0.1916948
0.84,0.1915858
0.85,0.1914582
0.86,0.1913038
0.87,0.1911248
0.88,0.1909102
0.89,0.1906534
0.9,0.19034
0.91,0.189963
0.92,0.1895038
0.93,0.1889396
0.94,0.1882664
0.95,0.187424
0.96,0.1864164
0.97,0.1852046
0.98,0.1837338
0.99,0.1819938
1,0.1799286
1.01,0.177573
1.02,0.1748712
1.03,0.1719026
1.04,0.168611
1.05,0.1651278
1.06,0.1614818
1.07,0.1577702
1.08,0.154013
1.09,0.1502754
1.1,0.146676
1.11,0.143208
1.12,0.139809
1.13,0.1366506
1.14,0.1335586
1.15,0.130694
1.16,0.1278554
1.17,0.1252958
1.18,0.122661
1.19,0.1204194
1.2,0.1181004
1.21,0.1158116
1.22,0.1139002
1.23,0.1118464
1.24,0.109795
1.25,0.1081168
1.26,0.1064154
1.27,0.1045674
1.28,0.1028774
1.29,0.1014458
1.3,0.0999606
1.31,0.098397
1.32,0.0969188
1.33,0.0955816
1.34,0.0943128
1.35,0.0929872
1.36,0.0916868
1.37,0.0904544
1.38,0.089299
1.39,0.08819
1.4,0.0870442
1.41,0.0859314
1.42,0.084852
1.43,0.0838054
1.44,0.0827926
1.45,0.0818288
1.46,0.0808676
1.47,0.079953
1.48,0.0790578
1.49,0.0781482
1.5,0.0772128
1.51,0.0763422
1.52,0.0755236
1.53,0.0747412
1.54,0.0739728
1.55,0.0731888
